Венеция,Рим,Прага,Генуя,Реджо-ди-Калабрия,Нарбон,Париж,Лондон,Барселона,Гренада,Тунис,Александрия,Триполи,Константинополь,Крит,Дураццо,Товары
6,7,"1,5",3,"2,5",5,10,4,3,6,5,1,6,4,3,5,Еда
3,1,1,,4,,,1,,,3,4,5,2,,2,Дерево
5,6,7,5,,8,10,,,,6,5,2,5,2,5,Камень
11,9,7,9,,7,,12,4,,15,,12,10,,13,Металлы
10,,"3,5",6,3,,,7,,,,"2,5",13,10,,13,Ткани
20,,,20,15,13,14,15,"6,5",15,,,16,15,,9,Инструменты
30,,,,,27,,20,"7,5",23,23,,30,20,,28,Оружие
60,60,50,60,,55,60,55,20,50,50,66,80,50,,30,Доспехи
50,,50,,,,40,,55,,,,60,35,,94,Лошади
12,12,,,5,,,30,7,12,5,,10,8,7,4,Фрукты
5,,1,2,2,8,4,3,6,x,x,x,10,4,3,7,Алкоголь
60,32,88,,78,,93,100,51,40,30,6,,30,30,18,Специи
120,150,,,,180,,"37,5",200,,120,,,100,,88,Драгоценности
70,90,100,,,150,,100,75,,75,100,,50,40,69,Роскошь
150,95,90,50,120,,,,80,,,"37,5",,150,90,175,Рабы
