Венеция,Рим,Прага,Генуя,Реджо-ди-Калабрия,Нарбон,Париж,Лондон,Барселона,Гренада,Тунис,Александрия,Триполи,Константинополь,Крит,Дураццо,Зара,Товары
6,1,3,5,5,5,3,4,1,4,5,2,,12,3,"13,5",3,Еда
3,2,1,,6,,,2,,,3,4,,2,,4,3,Дерево
5,9,4,5,,12,15,,,,9,5,,5,2,2,2,Камень
10,10,7,9,10,7,7,12,8,,15,,,15,,"13,5",19,Металлы
5,,7,6,3,3,,7,8,,,5,,14,1,12,12,Ткани
15,,12,8,"22,5",13,14,15,13,15,,,,15,,30,15,Инструменты
35,,,,,27,,20,15,23,70,34,45,30,,69,46,Оружие
65,60,50,60,,35,60,55,40,50,50,66,120,75,60,"139,5",77,Доспехи
60,,50,,,,110,,55,,46,,90,45,,64,76,Лошади
12,12,,7,10,,,30,4,12,8,,,8,7,7,5,Фрукты
7,5,2,3,4,8,4,3,6,x,x,x,15,9,3,6,6,Алкоголь
60,32,38,,78,,93,100,51,40,30,12,,x,30,86,82,Специи
120,150,,,,80,,75,200,216,120,103,,150,285,216,114,Драгоценности
70,90,100,51,150,70,,150,75,67,75,43,,50,40,58,66,Роскошь
150,95,90,100,120,,,,80,,,75,,72,90,145,x,Рабы
