A,B,Время,Тип,"Риск нападения, %"
Венеция,Точка1,1,Море,10
Венеция,Дураццо,1,Море,20
Венеция,Прага,2,Суша,10
Венеция,Париж,3,Суша,10
Венеция,Генуя,1,Суша,10
Венеция,Рим,1,Суша,10
Точка1,Реджо-ди-Калабрия,"0,5",Море,20
Точка1,Крит,1,Море,20
Крит,Константинополь,1,Море,20
Крит,Триполи,1,Море,20
Триполи,Александрия,1,Море,20
Реджо-ди-Калабрия,Тунис,"0,5",Море,10
Реджо-ди-Калабрия,Рим,"0,5",Море,10
Рим,Генуя,"0,5",Море,10
Генуя,Нарбон,"0,5",Море,10
Нарбон,Барселона,1,Суша,0
Барселона,Гренада,1,Море,0
Нарбон,Париж,3,Суша,0
Прага,Париж,3,Суша,0
Париж,Лондон,2,Суша,20
Реджо-ди-Калабрия,Дураццо,"0,5",Море,0
Венеция,Зара,1,Море,10
Дураццо,Зара,"0,5",Море,10
Барселона,Гренада,1,Море,10
