Венеция,Рим,Прага,Генуя,Реджо-ди-Калабрия,Нарбон,Париж,Лондон,Барселона,Гренада,Тунис,Александрия,Триполи,Константинополь,Крит,Дураццо,Зара,Товары
5,10,3,2,5,4,9,5,2,3,3,2,6,12,2,"1,5",,Еда
8,11,9,,10,12,,7,4,14,8,,10,,,6,,Фрукты
1,2,2,4,4,7,,8,6,x,x,x,15,9,4,"7,5",,Алкоголь
1,4,4,1,6,,,2,,1,3,,3,1,,3,,Дерево
2,9,8,,4,12,15,3,2,,9,,,,3,2,,Камень
10,3,7,6,6,,8,5,,,11,5,9,8,11,14,,Ткани
14,14,15,9,7,11,13,,8,,15,,,15,,10,,Металлы
20,,23,24,,30,,,28,,19,,,16,,29,,Ширпотреб
23,30,24,26,"22,5",21,11,7,13,,11,16,15,12,16,28,,Инструменты
35,,33,47,15,,,26,15,18,35,22,45,30,50,48,,Оружие
90,41,,47,38,93,31,,40,82,32,,120,75,60,120,,Доспехи
43,30,26,85,22,103,83,60,,75,35,12,,x,41,,,Специи
150,215,130,100,,,155,,230,230,207,75,95,77,90,64,,Рабы
40,75,50,100,,35,68,,95,90,65,,90,37,20,168,,Лошади
95,90,100,90,150,55,,150,75,80,80,60,40,55,60,50,,Роскошь
140,150,115,,,90,,75,200,78,66,125,,150,125,189,,Драгоценности
