Город,Страна,Религия,"Торговый сбор, %",Вместимость высоких,Вместимость средних,Вместимость низких
Венеция,Венеция,Католичество,10,100000,40000,2000
Рим,СРИ,Католичество,10,60000,30000,6000
Прага,СРИ,Католичество,10,100000,25000,1000
Генуя,СРИ,Католичество,10,85000,45000,2000
Реджо-ди-Калабрия,Сицилия,Католичество,0,50000,20000,4000
Нарбон,Франция,Католичество,10,50000,20000,6000
Париж,Франция,Католичество,10,75000,50000,5000
Лондон,Англия,Католичество,10,70000,30000,2000
Барселона,Арагон,Католичество,10,80000,60000,2000
Гренада,Халифат,Ислам,20,90000,20000,3000
Тунис,Халифат,Ислам,20,50000,25000,5000
Александрия,Саладин,Ислам,20,70000,30000,5000
Триполи,Крестоносцы,Католичество,10,90000,40000,1000
Константинополь,Византия,Православие,0,80000,30000,8000
Крит,Византия,Православие,0,80000,20000,4000
Дураццо,Византия,Православие,0,30000,4000,300
Зара,Венгрия,Католичество,10,50000,30000,800
