A,B,Время,Тип,"Риск нападения, %","Риск бедствия, %"
Венеция,Дураццо,1,Море,20,50
Венеция,Прага,2,Суша,10,0
Венеция,Париж,3,Суша,10,0
Венеция,Генуя,1,Суша,10,0
Венеция,Рим,1.5,Суша,10,0
Рим,Венеция,1.5,Суша,10,0
Венеция,Реджо-ди-Калабрия,"1,5",Море,20,50
Венеция,Крит,2,Море,20,50
Крит,Константинополь,1,Море,20,50
Крит,Триполи,1,Море,20,50
Триполи,Александрия,1,Море,20,50
Реджо-ди-Калабрия,Тунис,"0,5",Море,10,50
Реджо-ди-Калабрия,Рим,"0,5",Море,10,50
Рим,Генуя,"0,5",Море,10,50
Генуя,Нарбон,"0,5",Море,10,50
Нарбон,Барселона,1,Суша,10,0
Барселона,Гренада,1,Море,10,50
Нарбон,Париж,3,Суша,10,0
Прага,Париж,3,Суша,10,0
Париж,Лондон,2,Суша,10,0
Реджо-ди-Калабрия,Дураццо,"0,5",Море,10,50
Венеция,Зара,1,Море,10,50
Дураццо,Зара,"0,5",Море,10,50
Барселона,Гренада,1,Море,10,50
Рим,Реджо-ди-Калабрия,2,Суша,10,0
Венеция,Зара,1,Суша,10,0
