Венеция,Рим,Прага,Генуя,Реджо-ди-Калабрия,Нарбон,Париж,Лондон,Барселона,Гренада,Тунис,Александрия,Триполи,Константинополь,Крит,Дураццо,Зара,Товары
5,10,"1,5",2,"2,5",4,9,5,2,3,3,1,6,8,2,1,6,Еда
8,11,9,,5,12,,7,4,14,4,,10,,,6,6,Фрукты
1,2,1,4,2,7,,8,6,x,x,x,10,6,4,5,8,Алкоголь
1,4,4,1,4,,,1,,1,3,,3,1,,3,5,Дерево
2,6,8,,4,8,10,3,2,,6,,,,3,2,1,Камень
10,3,"3,5",3,6,,8,5,,,11,"2,5",9,8,11,9,6,Ткани
14,14,15,9,7,11,13,,4,,15,,,10,,10,11,Металлы
20,,23,24,,30,,,28,,19,,,16,,29,24,Ширпотреб
23,30,24,26,15,21,11,7,"6,5",,11,16,15,12,16,28,16,Инструменты
35,,33,47,15,,,26,"7,5",18,35,22,30,20,50,36,15,Оружие
90,41,,47,38,93,31,,20,82,32,,80,50,60,80,90,Доспехи
43,30,26,85,22,103,83,60,,75,35,6,,x,41,,61,Специи
150,215,130,50,,,155,,230,230,207,"37,5",95,77,90,64,,Рабы
40,75,50,100,,35,68,,95,90,65,,60,37,20,168,78,Лошади
95,90,100,90,100,55,,100,75,80,80,60,40,55,60,50,57,Роскошь
140,150,115,,,90,,"37,5",200,78,66,125,,100,125,126,100,Драгоценности
