                  from                 to        product  length  profitability_by_time  profit_by_100000_capital
294  Реджо-ди-Калабрия            Дураццо          Ткани     0.5              18.700000              71923.076923
287  Реджо-ди-Калабрия            Венеция          Ткани     1.5               4.666667              70000.000000
772            Дураццо            Венеция         Специи     1.0              42.000000              70000.000000
775            Дураццо  Реджо-ди-Калабрия         Специи     0.5             104.400000              66923.076923
640            Дураццо            Венеция         Фрукты     1.0               8.000000              66666.666667
641            Дураццо                Рим         Фрукты     1.0               7.400000              61666.666667
703               Крит            Триполи       Алкоголь     1.0               6.000000              60000.000000
376            Дураццо            Венеция    Инструменты     1.0              11.000000              55000.000000
678              Генуя             Нарбон       Алкоголь     0.5              10.400000              52000.000000
765              Тунис  Реджо-ди-Калабрия         Специи     0.5              80.400000              51538.461538
378            Дураццо              Генуя    Инструменты     1.5               6.666667              50000.000000
733                Рим  Реджо-ди-Калабрия         Специи     0.5              76.400000              48974.358974
285              Генуя            Дураццо          Ткани     1.5               4.233333              48846.153846
730                Рим            Венеция         Специи     1.0              28.000000              46666.666667
681              Генуя            Дураццо       Алкоголь     1.5               3.100000              46500.000000
908            Дураццо             Нарбон        Роскошь     2.0              33.000000              44000.000000
936                Рим            Дураццо           Рабы     1.0              14.250000              40714.285714
278              Генуя            Венеция          Ткани     1.0               4.000000              40000.000000
773            Дураццо                Рим         Специи     1.0              12.400000              38750.000000
945              Генуя            Дураццо           Рабы     1.5               8.833333              37857.142857
679              Генуя          Барселона       Алкоголь     1.5               2.466667              37000.000000
928                Рим            Венеция           Рабы     1.0              11.000000              36666.666667
15               Генуя                Рим            Еда     0.5               7.300000              36500.000000
230             Нарбон            Венеция        Металлы     1.5               2.666667              36363.636364
362             Нарбон            Венеция    Инструменты     1.5               4.666667              35000.000000
968               Крит    Константинополь           Рабы     1.0              10.500000              35000.000000
778            Дураццо               Крит         Специи     2.0               5.250000              35000.000000
938              Генуя            Венеция           Рабы     1.0              10.000000              33333.333333
735                Рим          Барселона         Специи     2.0               8.225000              32254.901961
687  Реджо-ди-Калабрия             Нарбон       Алкоголь     1.5               2.133333              32000.000000
379            Дураццо  Реджо-ди-Калабрия    Инструменты     0.5               9.000000              30000.000000
14               Генуя            Венеция            Еда     1.0               3.000000              30000.000000
777            Дураццо              Тунис         Специи     1.0               9.000000              30000.000000
218              Генуя              Тунис        Металлы     1.5               3.000000              30000.000000
364             Нарбон              Генуя    Инструменты     0.5              12.000000              30000.000000
208                Рим              Тунис        Металлы     1.0               4.500000              30000.000000
866                Рим             Нарбон        Роскошь     1.0              45.000000              30000.000000
674              Генуя            Венеция       Алкоголь     1.0               3.000000              30000.000000
176               Крит    Константинополь         Камень     1.0               2.750000              27500.000000
289  Реджо-ди-Калабрия              Генуя          Ткани     1.0               2.700000              27000.000000
646            Дураццо               Крит         Фрукты     2.0               1.325000              26500.000000
690  Реджо-ди-Калабрия            Дураццо       Алкоголь     0.5               5.300000              26500.000000
954  Реджо-ди-Калабрия            Дураццо           Рабы     0.5              18.500000              26428.571429
73                 Рим  Реджо-ди-Калабрия         Дерево     0.5               5.200000              26000.000000
219              Генуя            Дураццо        Металлы     1.5               2.233333              25769.230769
210                Рим            Дураццо        Металлы     1.0               3.350000              25769.230769
508            Дураццо            Венеция        Доспехи     1.0              15.000000              25000.000000
43                Крит            Триполи            Еда     1.0               2.400000              24000.000000
150              Генуя             Нарбон         Камень     0.5               4.400000              22000.000000
182            Дураццо             Нарбон         Камень     2.0               1.100000              22000.000000
380            Дураццо             Нарбон    Инструменты     2.0               1.350000              20769.230769
947  Реджо-ди-Калабрия            Венеция           Рабы     1.5               4.000000              20000.000000
70                 Рим            Венеция         Дерево     1.0               2.000000              20000.000000
510            Дураццо              Генуя        Доспехи     1.5               8.000000              20000.000000
637               Крит            Триполи         Фрукты     1.0               2.000000              20000.000000
509            Дураццо                Рим        Доспехи     1.0              12.000000              20000.000000
801                Рим          Барселона  Драгоценности     2.0              20.000000              20000.000000
530            Венеция            Дураццо         Лошади     1.0               1.965000              19650.000000
905            Дураццо                Рим        Роскошь     1.0              16.500000              18333.333333
212              Генуя            Венеция        Металлы     1.0               2.000000              18181.818182
202                Рим            Венеция        Металлы     1.0               2.000000              18181.818182
266            Венеция            Дураццо          Ткани     1.0               2.350000              18076.923077
21               Генуя            Дураццо            Еда     1.5               1.166667              17500.000000
858            Венеция                Рим        Роскошь     1.0              15.500000              17222.222222
76                 Рим              Тунис         Дерево     1.0               1.700000              17000.000000
842            Дураццо             Нарбон  Драгоценности     2.0              15.000000              16666.666667
617  Реджо-ди-Калабрия            Венеция         Фрукты     1.5               1.333333              16666.666667
24   Реджо-ди-Калабрия                Рим            Еда     0.5               3.300000              16500.000000
662            Венеция            Дураццо       Алкоголь     1.0               1.650000              16500.000000
33              Нарбон                Рим            Еда     1.0               1.650000              16500.000000
38               Тунис                Рим            Еда     1.0               1.650000              16500.000000
115            Дураццо  Реджо-ди-Калабрия         Дерево     0.5               3.200000              16000.000000
231             Нарбон                Рим        Металлы     1.0               1.550000              15500.000000
232             Нарбон              Генуя        Металлы     0.5               3.100000              15500.000000
18               Генуя             Нарбон            Еда     0.5               3.000000              15000.000000
20               Генуя              Тунис            Еда     1.5               1.000000              15000.000000
792            Венеция                Рим  Драгоценности     1.0              22.500000              15000.000000
830              Тунис                Рим  Драгоценности     1.0              22.500000              15000.000000
902               Крит    Константинополь        Роскошь     1.0               7.500000              15000.000000
437              Тунис            Дураццо         Оружие     1.0               3.600000              12857.142857
500              Тунис                Рим        Доспехи     1.0               7.000000              11666.666667
896              Тунис                Рим        Роскошь     1.0              10.500000              11666.666667
618  Реджо-ди-Калабрия                Рим         Фрукты     0.5               2.800000              11666.666667
632              Тунис                Рим         Фрукты     1.0               1.400000              11666.666667
931                Рим  Реджо-ди-Калабрия           Рабы     0.5               5.200000              10833.333333
200            Венеция            Дураццо        Металлы     1.0               1.350000              10384.615385
23   Реджо-ди-Калабрия            Венеция            Еда     1.5               0.666667              10000.000000
428             Нарбон            Венеция         Оружие     1.5               2.000000              10000.000000
683  Реджо-ди-Калабрия            Венеция       Алкоголь     1.5               0.666667              10000.000000
112            Дураццо            Венеция         Дерево     1.0               1.000000              10000.000000
32              Нарбон            Венеция            Еда     1.5               0.666667              10000.000000
926            Венеция            Дураццо           Рабы     1.0               3.250000               9285.714286
78                 Рим            Дураццо         Дерево     1.0               0.900000               9000.000000
494             Нарбон            Венеция        Доспехи     1.5               3.333333               8333.333333
512            Дураццо             Нарбон        Доспехи     2.0               2.250000               8181.818182
704               Крит    Константинополь       Алкоголь     1.0               0.800000               8000.000000
44                Крит    Константинополь            Еда     1.0               0.800000               8000.000000
117            Дураццо              Тунис         Дерево     1.0               0.700000               7000.000000
839            Дураццо                Рим  Драгоценности     1.0              10.500000               7000.000000
147              Генуя                Рим         Камень     0.5               1.400000               7000.000000
